player_name,death_eco_overall,eco_vs_rhb,eco_vs_lhb
Kushal Malla,9.05,9.05,9.05
S Bhari,9.0,9.0,9.0
U Aryaman Sunil,9.54,9.54,9.54
R Ngarava,8.08,8.08,8.08
Sidhant Singh,5.2,5.2,5.2
Nazril Rahman,14.0,14.0,14.0
Muhammad Wafiq,9.56,9.56,9.56
N Nipiko,7.04,7.04,7.04
PK Matautaava,7.89,7.89,7.89
D Jakiel,7.6,7.6,7.6
TH David,12.44,12.44,12.44
S Vijayakumar,9.5,9.5,9.5
Syazrul Idrus,8.82,8.82,8.82
SH Obed,8.0,8.0,8.0
A Mansale,6.94,6.94,6.94
J Rasu,7.89,7.89,7.89
AL Stephen,6.96,6.96,6.96
Mohammad Hasnain,10.62,10.62,10.62
N Pradeep,9.71,9.71,9.71
Faheem Ashraf,9.53,9.53,9.53
KD Shah,11.14,11.14,11.14
Haroon Arshad,9.64,9.64,9.64
K Christie,9.62,9.62,9.62
Raag Kapur,10.0,10.0,10.0
Nasrulla Rana,8.62,8.62,8.62
SC Getkate,11.0,11.0,11.0
CBRLS Kumara,10.94,10.94,10.94
TB Sole,9.33,9.33,9.33
Waqas Barkat,7.9,7.9,7.9
Fayyaz Butt,8.85,8.85,8.85
Junaid Siddique,8.64,8.64,8.64
CJA Amini,6.5,6.5,6.5
N Pokana,8.73,8.73,8.73
VD Adewoye,8.54,8.54,8.54
JO Adedeji,10.0,10.0,10.0
R Hekure,8.42,8.42,8.42
J Sumerauer,8.77,8.77,8.77
Aamir Kaleem,8.88,8.88,8.88
RR Patel,7.92,7.92,7.92
CN Ackermann,8.67,8.67,8.67
V Baskaran,8.0,8.0,8.0
Atif Mehmood,6.0,6.0,6.0
Yasir Ali,6.06,6.06,6.06
Tariq Aziz,4.62,4.62,4.62
Ali Naqi,6.46,6.46,6.46
Fakhrul Mohon,5.67,5.67,5.67
RJ Hatchman,15.49,15.49,15.49
E Packard,11.54,11.54,11.54
J Perman,6.0,6.0,6.0
Najjam Shahzad,7.37,7.37,7.37
Zohaib Sarwar,8.63,8.63,8.63
Zulqarnain Haider,4.42,4.42,4.42
Tauqeer Hussain,5.45,5.45,5.45
SR Bhudia,5.57,5.57,5.57
D Ravu,9.37,9.37,9.37
TC Vine,12.39,12.39,12.39
MD Garratt,10.0,10.0,10.0
Zawar Farid,8.89,8.89,8.89
JC Archer,8.44,8.44,8.44
Shaheen Shah Afridi,8.33,8.33,8.33
CG Williams,7.06,7.06,7.06
Mehran Khan,6.55,6.55,6.55
AC Agar,6.44,6.44,6.44
PR Brown,8.33,8.33,8.33
Afif Hossain,9.55,9.55,9.55
KK Ahmed,9.7,9.7,9.7
S Dube,8.73,8.73,8.73
Simi Singh,7.42,7.42,7.42
SM Curran,9.55,9.55,9.55
S Mahmood,10.19,10.19,10.19
DJ Mitchell,11.11,11.11,11.11
BM Tickner,11.22,11.22,11.22
B Stanlake,7.23,7.23,7.23
T Jamtsho,9.52,9.52,9.52
T Singye,12.5,12.5,12.5
Rashid Khan,13.15,13.15,13.15
L Shafeeg,10.12,10.12,10.12
Ibrahim Rizan,7.04,7.04,7.04
P Sarraf,8.0,8.0,8.0
L Sipamla,13.35,13.35,13.35
T Shamsi,7.75,7.75,7.75
DM de Silva,8.16,8.16,8.16
J Hill,9.0,9.0,9.0
Surinder Singh,12.0,12.0,12.0
DC Smith,9.55,9.55,9.55
J Long,12.0,12.0,12.0
R Mahajan,7.5,7.5,7.5
Sultan Ahmed,9.0,9.0,9.0
JL Denly,11.5,11.5,11.5
OC McCoy,9.92,9.92,9.92
DJM Short,11.0,11.0,11.0
S Kaul,12.0,12.0,12.0
SN Thakur,8.43,8.43,8.43
CJ Dala,13.68,13.68,13.68
K Pierre,9.19,9.19,9.19
BJ McCarthy,9.67,9.67,9.67
R Shepherd,10.34,10.34,10.34
SE Rutherford,8.0,8.0,8.0
Haris Rauf,8.48,8.48,8.48
HK Bennett,9.04,9.04,9.04
L Ngidi,9.38,9.38,9.38
Khizar Hayat,7.38,7.38,7.38
A Nortje,8.08,8.08,8.08
Mohsin Khan,8.4,8.4,8.4
D Mogan,18.5,18.5,18.5
Sufyan Mehmood,9.53,9.53,9.53
Abdul Waheed,5.06,5.06,5.06
Abdul Wahid,6.57,6.57,6.57
D Pretorius,8.62,8.62,8.62
Aftab Hussain,12.46,12.46,12.46
Sarfaraz Ali,7.48,7.48,7.48
Anasim Khan,8.21,8.21,8.21
Imran Anwar,8.71,8.71,8.71
Sayed Monib,8.31,8.31,8.31
N Senamontree,7.77,7.77,7.77
AAhan Achar,5.33,5.33,5.33
R Powell,10.7,10.7,10.7
Kuldeep Lal,8.75,8.75,8.75
Raja Adeel,7.77,7.77,7.77
H Singh,12.95,12.95,12.95
